n_start,nu2_t0,nu2_t1,nu2_t2,nu2_t3,nu2_t4,nu2_t5,nu2_t6,nu2_t7,nu2_t8,nu2_t9,nu2_t10,nu2_t11,nu2_t12,nu2_t13,nu2_t14,nu2_t15,nu2_t16,nu2_t17,nu2_t18,nu2_t19
66,1,0,2,1,0,2,1,0,1,0,3,2,1,0,1,0,2,1,0,3
67,0,1,0,4,3,2,1,0,1,0,3,2,1,0,1,0,2,1,0,3
68,2,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1
69,0,4,3,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1
70,1,0,1,0,5,4,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1
71,0,1,0,1,0,2,1,0,2,1,0,1,0,2,1,0,1,0,1,0
72,3,2,1,0,2,1,0,1,0,1,0,2,1,0,3,2,1,0,4,3
73,0,2,1,0,1,0,1,0,3,2,1,0,1,0,1,0,1,0,2,1
74,1,0,4,3,2,1,0,1,0,1,0,2,1,0,3,2,1,0,4,3
75,0,1,0,2,1,0,8,7,6,5,4,3,2,1,0,-1,-1,-1,-1,-1
76,2,1,0,1,0,3,2,1,0,1,0,2,1,0,3,2,1,0,4,3
77,0,3,2,1,0,3,2,1,0,1,0,2,1,0,3,2,1,0,4,3
78,1,0,1,0,1,0,2,1,0,1,0,4,3,2,1,0,1,0,3,2
79,0,1,0,1,0,1,0,3,2,1,0,4,3,2,1,0,1,0,3,2
80,4,3,2,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,0,2,1,0,3,2,1,0,1,0,1,0,5,4,3,2,1,0,4,3
82,1,0,2,1,0,1,0,1,0,1,0,1,0,2,1,0,2,1,0,1
83,0,1,0,3,2,1,0,1,0,1,0,1,0,2,1,0,2,1,0,1
84,2,1,0,6,5,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,0,8,7,6,5,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,1,0,1,0,2,1,0,2,1,0,4,3,2,1,0,1,0,1,0,2
87,0,1,0,1,0,4,3,2,1,0,4,3,2,1,0,1,0,1,0,2
88,3,2,1,0,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1
89,0,2,1,0,1,0,4,3,2,1,0,1,0,3,2,1,0,1,0,2
90,1,0,3,2,1,0,2,1,0,3,2,1,0,4,3,2,1,0,-1,-1
91,0,1,0,2,1,0,1,0,1,0,2,1,0,1,0,1,0,1,0,2
92,2,1,0,1,0,1,0,5,4,3,2,1,0,4,3,2,1,0,-1,-1
93,0,3,2,1,0,1,0,5,4,3,2,1,0,4,3,2,1,0,-1,-1
94,1,0,1,0,1,0,1,0,2,1,0,2,1,0,1,0,2,1,0,1
95,0,1,0,1,0,1,0,1,0,4,3,2,1,0,1,0,2,1,0,1
96,5,4,3,2,1,0,1,0,4,3,2,1,0,-1,-1,-1,-1,-1,-1,-1
97,0,2,1,0,2,1,0,1,0,1,0,3,2,1,0,1,0,1,0,1
98,1,0,2,1,0,4,3,2,1,0,1,0,1,0,2,1,0,3,2,1
99,0,1,0,6,5,4,3,2,1,0,1,0,1,0,2,1,0,3,2,1
100,2,1,0,2,1,0,1,0,3,2,1,0,1,0,2,1,0,3,2,1
