n_start,step,value,nu2,delta_nu2
78,28,20,2,-1.0
78,29,10,1,-1.0
78,30,5,0,-1.0
78,31,16,4,4.0
78,32,8,3,-1.0
78,33,4,2,-1.0
78,34,2,1,-1.0
78,35,1,0,-1.0
79,0,79,0,
79,1,238,1,1.0
79,2,119,0,-1.0
79,3,358,1,1.0
79,4,179,0,-1.0
79,5,538,1,1.0
79,6,269,0,-1.0
79,7,808,3,3.0
79,8,404,2,-1.0
79,9,202,1,-1.0
79,10,101,0,-1.0
79,11,304,4,4.0
79,12,152,3,-1.0
79,13,76,2,-1.0
79,14,38,1,-1.0
79,15,19,0,-1.0
79,16,58,1,1.0
79,17,29,0,-1.0
79,18,88,3,3.0
79,19,44,2,-1.0
79,20,22,1,-1.0
79,21,11,0,-1.0
79,22,34,1,1.0
79,23,17,0,-1.0
79,24,52,2,2.0
79,25,26,1,-1.0
79,26,13,0,-1.0
79,27,40,3,3.0
79,28,20,2,-1.0
79,29,10,1,-1.0
79,30,5,0,-1.0
79,31,16,4,4.0
79,32,8,3,-1.0
79,33,4,2,-1.0
79,34,2,1,-1.0
79,35,1,0,-1.0
80,0,80,4,
80,1,40,3,-1.0
80,2,20,2,-1.0
80,3,10,1,-1.0
80,4,5,0,-1.0
80,5,16,4,4.0
80,6,8,3,-1.0
80,7,4,2,-1.0
80,8,2,1,-1.0
80,9,1,0,-1.0
81,0,81,0,
81,1,244,2,2.0
81,2,122,1,-1.0
81,3,61,0,-1.0
81,4,184,3,3.0
81,5,92,2,-1.0
81,6,46,1,-1.0
81,7,23,0,-1.0
81,8,70,1,1.0
81,9,35,0,-1.0
81,10,106,1,1.0
81,11,53,0,-1.0
81,12,160,5,5.0
81,13,80,4,-1.0
81,14,40,3,-1.0
81,15,20,2,-1.0
81,16,10,1,-1.0
81,17,5,0,-1.0
81,18,16,4,4.0
81,19,8,3,-1.0
81,20,4,2,-1.0
81,21,2,1,-1.0
81,22,1,0,-1.0
82,0,82,1,
82,1,41,0,-1.0
82,2,124,2,2.0
82,3,62,1,-1.0
82,4,31,0,-1.0
82,5,94,1,1.0
82,6,47,0,-1.0
82,7,142,1,1.0
82,8,71,0,-1.0
82,9,214,1,1.0
82,10,107,0,-1.0
82,11,322,1,1.0
82,12,161,0,-1.0
82,13,484,2,2.0
82,14,242,1,-1.0
82,15,121,0,-1.0
82,16,364,2,2.0
82,17,182,1,-1.0
82,18,91,0,-1.0
82,19,274,1,1.0
82,20,137,0,-1.0
82,21,412,2,2.0
82,22,206,1,-1.0
82,23,103,0,-1.0
82,24,310,1,1.0
82,25,155,0,-1.0
82,26,466,1,1.0
82,27,233,0,-1.0
82,28,700,2,2.0
82,29,350,1,-1.0
82,30,175,0,-1.0
82,31,526,1,1.0
82,32,263,0,-1.0
82,33,790,1,1.0
82,34,395,0,-1.0
82,35,1186,1,1.0
82,36,593,0,-1.0
82,37,1780,2,2.0
82,38,890,1,-1.0
82,39,445,0,-1.0
82,40,1336,3,3.0
82,41,668,2,-1.0
82,42,334,1,-1.0
82,43,167,0,-1.0
82,44,502,1,1.0
82,45,251,0,-1.0
82,46,754,1,1.0
82,47,377,0,-1.0
82,48,1132,2,2.0
82,49,566,1,-1.0
82,50,283,0,-1.0
82,51,850,1,1.0
82,52,425,0,-1.0
82,53,1276,2,2.0
82,54,638,1,-1.0
82,55,319,0,-1.0
82,56,958,1,1.0
82,57,479,0,-1.0
82,58,1438,1,1.0
82,59,719,0,-1.0
82,60,2158,1,1.0
82,61,1079,0,-1.0
82,62,3238,1,1.0
82,63,1619,0,-1.0
82,64,4858,1,1.0
82,65,2429,0,-1.0
82,66,7288,3,3.0
82,67,3644,2,-1.0
82,68,1822,1,-1.0
82,69,911,0,-1.0
82,70,2734,1,1.0
82,71,1367,0,-1.0
82,72,4102,1,1.0
82,73,2051,0,-1.0
82,74,6154,1,1.0
82,75,3077,0,-1.0
82,76,9232,4,4.0
82,77,4616,3,-1.0
82,78,2308,2,-1.0
82,79,1154,1,-1.0
82,80,577,0,-1.0
82,81,1732,2,2.0
82,82,866,1,-1.0
82,83,433,0,-1.0
82,84,1300,2,2.0
82,85,650,1,-1.0
82,86,325,0,-1.0
82,87,976,4,4.0
82,88,488,3,-1.0
82,89,244,2,-1.0
82,90,122,1,-1.0
82,91,61,0,-1.0
82,92,184,3,3.0
82,93,92,2,-1.0
82,94,46,1,-1.0
82,95,23,0,-1.0
82,96,70,1,1.0
82,97,35,0,-1.0
82,98,106,1,1.0
82,99,53,0,-1.0
82,100,160,5,5.0
82,101,80,4,-1.0
82,102,40,3,-1.0
82,103,20,2,-1.0
82,104,10,1,-1.0
82,105,5,0,-1.0
82,106,16,4,4.0
82,107,8,3,-1.0
82,108,4,2,-1.0
82,109,2,1,-1.0
82,110,1,0,-1.0
83,0,83,0,
83,1,250,1,1.0
83,2,125,0,-1.0
83,3,376,3,3.0
83,4,188,2,-1.0
83,5,94,1,-1.0
83,6,47,0,-1.0
83,7,142,1,1.0
83,8,71,0,-1.0
83,9,214,1,1.0
83,10,107,0,-1.0
83,11,322,1,1.0
83,12,161,0,-1.0
83,13,484,2,2.0
83,14,242,1,-1.0
83,15,121,0,-1.0
83,16,364,2,2.0
83,17,182,1,-1.0
83,18,91,0,-1.0
83,19,274,1,1.0
83,20,137,0,-1.0
83,21,412,2,2.0
83,22,206,1,-1.0
83,23,103,0,-1.0
83,24,310,1,1.0
83,25,155,0,-1.0
83,26,466,1,1.0
83,27,233,0,-1.0
83,28,700,2,2.0
83,29,350,1,-1.0
83,30,175,0,-1.0
83,31,526,1,1.0
83,32,263,0,-1.0
83,33,790,1,1.0
83,34,395,0,-1.0
83,35,1186,1,1.0
83,36,593,0,-1.0
83,37,1780,2,2.0
83,38,890,1,-1.0
83,39,445,0,-1.0
83,40,1336,3,3.0
83,41,668,2,-1.0
83,42,334,1,-1.0
83,43,167,0,-1.0
83,44,502,1,1.0
83,45,251,0,-1.0
83,46,754,1,1.0
83,47,377,0,-1.0
83,48,1132,2,2.0
83,49,566,1,-1.0
83,50,283,0,-1.0
83,51,850,1,1.0
83,52,425,0,-1.0
83,53,1276,2,2.0
83,54,638,1,-1.0
83,55,319,0,-1.0
83,56,958,1,1.0
83,57,479,0,-1.0
83,58,1438,1,1.0
83,59,719,0,-1.0
83,60,2158,1,1.0
83,61,1079,0,-1.0
83,62,3238,1,1.0
83,63,1619,0,-1.0
83,64,4858,1,1.0
83,65,2429,0,-1.0
83,66,7288,3,3.0
83,67,3644,2,-1.0
83,68,1822,1,-1.0
83,69,911,0,-1.0
83,70,2734,1,1.0
83,71,1367,0,-1.0
83,72,4102,1,1.0
83,73,2051,0,-1.0
83,74,6154,1,1.0
83,75,3077,0,-1.0
83,76,9232,4,4.0
83,77,4616,3,-1.0
83,78,2308,2,-1.0
83,79,1154,1,-1.0
83,80,577,0,-1.0
83,81,1732,2,2.0
83,82,866,1,-1.0
83,83,433,0,-1.0
83,84,1300,2,2.0
83,85,650,1,-1.0
83,86,325,0,-1.0
83,87,976,4,4.0
83,88,488,3,-1.0
83,89,244,2,-1.0
83,90,122,1,-1.0
83,91,61,0,-1.0
83,92,184,3,3.0
83,93,92,2,-1.0
83,94,46,1,-1.0
83,95,23,0,-1.0
83,96,70,1,1.0
83,97,35,0,-1.0
83,98,106,1,1.0
83,99,53,0,-1.0
83,100,160,5,5.0
83,101,80,4,-1.0
83,102,40,3,-1.0
83,103,20,2,-1.0
83,104,10,1,-1.0
83,105,5,0,-1.0
83,106,16,4,4.0
83,107,8,3,-1.0
83,108,4,2,-1.0
83,109,2,1,-1.0
83,110,1,0,-1.0
84,0,84,2,
84,1,42,1,-1.0
84,2,21,0,-1.0
84,3,64,6,6.0
84,4,32,5,-1.0
84,5,16,4,-1.0
84,6,8,3,-1.0
84,7,4,2,-1.0
84,8,2,1,-1.0
84,9,1,0,-1.0
85,0,85,0,
85,1,256,8,8.0
85,2,128,7,-1.0
85,3,64,6,-1.0
85,4,32,5,-1.0
85,5,16,4,-1.0
85,6,8,3,-1.0
85,7,4,2,-1.0
85,8,2,1,-1.0
85,9,1,0,-1.0
86,0,86,1,
86,1,43,0,-1.0
86,2,130,1,1.0
86,3,65,0,-1.0
86,4,196,2,2.0
86,5,98,1,-1.0
86,6,49,0,-1.0
86,7,148,2,2.0
86,8,74,1,-1.0
86,9,37,0,-1.0
86,10,112,4,4.0
86,11,56,3,-1.0
86,12,28,2,-1.0
86,13,14,1,-1.0
86,14,7,0,-1.0
86,15,22,1,1.0
86,16,11,0,-1.0
86,17,34,1,1.0
86,18,17,0,-1.0
86,19,52,2,2.0
86,20,26,1,-1.0
86,21,13,0,-1.0
86,22,40,3,3.0
86,23,20,2,-1.0
86,24,10,1,-1.0
86,25,5,0,-1.0
86,26,16,4,4.0
86,27,8,3,-1.0
86,28,4,2,-1.0
86,29,2,1,-1.0
86,30,1,0,-1.0
87,0,87,0,
87,1,262,1,1.0
87,2,131,0,-1.0
87,3,394,1,1.0
87,4,197,0,-1.0
87,5,592,4,4.0
87,6,296,3,-1.0
87,7,148,2,-1.0
87,8,74,1,-1.0
87,9,37,0,-1.0
87,10,112,4,4.0
87,11,56,3,-1.0
87,12,28,2,-1.0
87,13,14,1,-1.0
87,14,7,0,-1.0
87,15,22,1,1.0
87,16,11,0,-1.0
87,17,34,1,1.0
87,18,17,0,-1.0
87,19,52,2,2.0
87,20,26,1,-1.0
87,21,13,0,-1.0
87,22,40,3,3.0
87,23,20,2,-1.0
87,24,10,1,-1.0
87,25,5,0,-1.0
87,26,16,4,4.0
87,27,8,3,-1.0
87,28,4,2,-1.0
87,29,2,1,-1.0
87,30,1,0,-1.0
88,0,88,3,
88,1,44,2,-1.0
88,2,22,1,-1.0
88,3,11,0,-1.0
88,4,34,1,1.0
88,5,17,0,-1.0
88,6,52,2,2.0
88,7,26,1,-1.0
88,8,13,0,-1.0
88,9,40,3,3.0
88,10,20,2,-1.0
88,11,10,1,-1.0
88,12,5,0,-1.0
88,13,16,4,4.0
88,14,8,3,-1.0
88,15,4,2,-1.0
88,16,2,1,-1.0
88,17,1,0,-1.0
89,0,89,0,
89,1,268,2,2.0
89,2,134,1,-1.0
89,3,67,0,-1.0
89,4,202,1,1.0
89,5,101,0,-1.0
89,6,304,4,4.0
89,7,152,3,-1.0
89,8,76,2,-1.0
89,9,38,1,-1.0
89,10,19,0,-1.0
89,11,58,1,1.0
89,12,29,0,-1.0
89,13,88,3,3.0
89,14,44,2,-1.0
89,15,22,1,-1.0
89,16,11,0,-1.0
89,17,34,1,1.0
89,18,17,0,-1.0
89,19,52,2,2.0
89,20,26,1,-1.0
89,21,13,0,-1.0
89,22,40,3,3.0
89,23,20,2,-1.0
89,24,10,1,-1.0
89,25,5,0,-1.0
89,26,16,4,4.0
89,27,8,3,-1.0
89,28,4,2,-1.0
89,29,2,1,-1.0
89,30,1,0,-1.0
90,0,90,1,
90,1,45,0,-1.0
90,2,136,3,3.0
90,3,68,2,-1.0
90,4,34,1,-1.0
90,5,17,0,-1.0
90,6,52,2,2.0
90,7,26,1,-1.0
90,8,13,0,-1.0
90,9,40,3,3.0
90,10,20,2,-1.0
90,11,10,1,-1.0
90,12,5,0,-1.0
90,13,16,4,4.0
90,14,8,3,-1.0
90,15,4,2,-1.0
90,16,2,1,-1.0
90,17,1,0,-1.0
91,0,91,0,
91,1,274,1,1.0
91,2,137,0,-1.0
91,3,412,2,2.0
91,4,206,1,-1.0
91,5,103,0,-1.0
91,6,310,1,1.0
91,7,155,0,-1.0
91,8,466,1,1.0
91,9,233,0,-1.0
91,10,700,2,2.0
91,11,350,1,-1.0
91,12,175,0,-1.0
91,13,526,1,1.0
91,14,263,0,-1.0
91,15,790,1,1.0
91,16,395,0,-1.0
91,17,1186,1,1.0
91,18,593,0,-1.0
91,19,1780,2,2.0
91,20,890,1,-1.0
91,21,445,0,-1.0
91,22,1336,3,3.0
91,23,668,2,-1.0
91,24,334,1,-1.0
91,25,167,0,-1.0
91,26,502,1,1.0
91,27,251,0,-1.0
91,28,754,1,1.0
91,29,377,0,-1.0
91,30,1132,2,2.0
91,31,566,1,-1.0
91,32,283,0,-1.0
91,33,850,1,1.0
91,34,425,0,-1.0
91,35,1276,2,2.0
91,36,638,1,-1.0
91,37,319,0,-1.0
91,38,958,1,1.0
91,39,479,0,-1.0
91,40,1438,1,1.0
91,41,719,0,-1.0
91,42,2158,1,1.0
91,43,1079,0,-1.0
91,44,3238,1,1.0
91,45,1619,0,-1.0
91,46,4858,1,1.0
91,47,2429,0,-1.0
91,48,7288,3,3.0
91,49,3644,2,-1.0
91,50,1822,1,-1.0
91,51,911,0,-1.0
91,52,2734,1,1.0
91,53,1367,0,-1.0
91,54,4102,1,1.0
91,55,2051,0,-1.0
91,56,6154,1,1.0
91,57,3077,0,-1.0
91,58,9232,4,4.0
91,59,4616,3,-1.0
91,60,2308,2,-1.0
91,61,1154,1,-1.0
91,62,577,0,-1.0
91,63,1732,2,2.0
91,64,866,1,-1.0
91,65,433,0,-1.0
91,66,1300,2,2.0
91,67,650,1,-1.0
91,68,325,0,-1.0
91,69,976,4,4.0
91,70,488,3,-1.0
91,71,244,2,-1.0
91,72,122,1,-1.0
91,73,61,0,-1.0
91,74,184,3,3.0
91,75,92,2,-1.0
91,76,46,1,-1.0
91,77,23,0,-1.0
91,78,70,1,1.0
91,79,35,0,-1.0
91,80,106,1,1.0
91,81,53,0,-1.0
91,82,160,5,5.0
91,83,80,4,-1.0
91,84,40,3,-1.0
91,85,20,2,-1.0
91,86,10,1,-1.0
91,87,5,0,-1.0
91,88,16,4,4.0
91,89,8,3,-1.0
91,90,4,2,-1.0
91,91,2,1,-1.0
91,92,1,0,-1.0
92,0,92,2,
92,1,46,1,-1.0
92,2,23,0,-1.0
92,3,70,1,1.0
92,4,35,0,-1.0
92,5,106,1,1.0
92,6,53,0,-1.0
92,7,160,5,5.0
92,8,80,4,-1.0
92,9,40,3,-1.0
92,10,20,2,-1.0
92,11,10,1,-1.0
92,12,5,0,-1.0
92,13,16,4,4.0
92,14,8,3,-1.0
92,15,4,2,-1.0
92,16,2,1,-1.0
92,17,1,0,-1.0
93,0,93,0,
93,1,280,3,3.0
93,2,140,2,-1.0
93,3,70,1,-1.0
93,4,35,0,-1.0
93,5,106,1,1.0
93,6,53,0,-1.0
93,7,160,5,5.0
93,8,80,4,-1.0
93,9,40,3,-1.0
93,10,20,2,-1.0
93,11,10,1,-1.0
93,12,5,0,-1.0
93,13,16,4,4.0
93,14,8,3,-1.0
93,15,4,2,-1.0
93,16,2,1,-1.0
93,17,1,0,-1.0
94,0,94,1,
94,1,47,0,-1.0
94,2,142,1,1.0
94,3,71,0,-1.0
94,4,214,1,1.0
94,5,107,0,-1.0
94,6,322,1,1.0
94,7,161,0,-1.0
94,8,484,2,2.0
94,9,242,1,-1.0
94,10,121,0,-1.0
94,11,364,2,2.0
94,12,182,1,-1.0
94,13,91,0,-1.0
94,14,274,1,1.0
94,15,137,0,-1.0
94,16,412,2,2.0
94,17,206,1,-1.0
94,18,103,0,-1.0
94,19,310,1,1.0
94,20,155,0,-1.0
94,21,466,1,1.0
94,22,233,0,-1.0
94,23,700,2,2.0
94,24,350,1,-1.0
94,25,175,0,-1.0
94,26,526,1,1.0
94,27,263,0,-1.0
94,28,790,1,1.0
94,29,395,0,-1.0
94,30,1186,1,1.0
94,31,593,0,-1.0
94,32,1780,2,2.0
94,33,890,1,-1.0
94,34,445,0,-1.0
94,35,1336,3,3.0
94,36,668,2,-1.0
94,37,334,1,-1.0
94,38,167,0,-1.0
94,39,502,1,1.0
94,40,251,0,-1.0
94,41,754,1,1.0
94,42,377,0,-1.0
94,43,1132,2,2.0
94,44,566,1,-1.0
94,45,283,0,-1.0
94,46,850,1,1.0
94,47,425,0,-1.0
94,48,1276,2,2.0
94,49,638,1,-1.0
94,50,319,0,-1.0
94,51,958,1,1.0
94,52,479,0,-1.0
94,53,1438,1,1.0
94,54,719,0,-1.0
94,55,2158,1,1.0
94,56,1079,0,-1.0
94,57,3238,1,1.0
94,58,1619,0,-1.0
94,59,4858,1,1.0
94,60,2429,0,-1.0
94,61,7288,3,3.0
94,62,3644,2,-1.0
94,63,1822,1,-1.0
94,64,911,0,-1.0
94,65,2734,1,1.0
94,66,1367,0,-1.0
94,67,4102,1,1.0
94,68,2051,0,-1.0
94,69,6154,1,1.0
94,70,3077,0,-1.0
94,71,9232,4,4.0
94,72,4616,3,-1.0
94,73,2308,2,-1.0
94,74,1154,1,-1.0
94,75,577,0,-1.0
94,76,1732,2,2.0
94,77,866,1,-1.0
94,78,433,0,-1.0
94,79,1300,2,2.0
94,80,650,1,-1.0
94,81,325,0,-1.0
94,82,976,4,4.0
94,83,488,3,-1.0
94,84,244,2,-1.0
94,85,122,1,-1.0
94,86,61,0,-1.0
94,87,184,3,3.0
94,88,92,2,-1.0
94,89,46,1,-1.0
94,90,23,0,-1.0
94,91,70,1,1.0
94,92,35,0,-1.0
94,93,106,1,1.0
94,94,53,0,-1.0
94,95,160,5,5.0
94,96,80,4,-1.0
94,97,40,3,-1.0
94,98,20,2,-1.0
94,99,10,1,-1.0
94,100,5,0,-1.0
94,101,16,4,4.0
94,102,8,3,-1.0
94,103,4,2,-1.0
94,104,2,1,-1.0
94,105,1,0,-1.0
95,0,95,0,
95,1,286,1,1.0
95,2,143,0,-1.0
95,3,430,1,1.0
95,4,215,0,-1.0
95,5,646,1,1.0
95,6,323,0,-1.0
95,7,970,1,1.0
95,8,485,0,-1.0
95,9,1456,4,4.0
95,10,728,3,-1.0
95,11,364,2,-1.0
95,12,182,1,-1.0
95,13,91,0,-1.0
95,14,274,1,1.0
95,15,137,0,-1.0
95,16,412,2,2.0
95,17,206,1,-1.0
95,18,103,0,-1.0
95,19,310,1,1.0
95,20,155,0,-1.0
95,21,466,1,1.0
95,22,233,0,-1.0
95,23,700,2,2.0
95,24,350,1,-1.0
95,25,175,0,-1.0
95,26,526,1,1.0
95,27,263,0,-1.0
95,28,790,1,1.0
95,29,395,0,-1.0
95,30,1186,1,1.0
95,31,593,0,-1.0
95,32,1780,2,2.0
95,33,890,1,-1.0
95,34,445,0,-1.0
95,35,1336,3,3.0
95,36,668,2,-1.0
95,37,334,1,-1.0
95,38,167,0,-1.0
95,39,502,1,1.0
95,40,251,0,-1.0
95,41,754,1,1.0
95,42,377,0,-1.0
95,43,1132,2,2.0
95,44,566,1,-1.0
95,45,283,0,-1.0
95,46,850,1,1.0
95,47,425,0,-1.0
95,48,1276,2,2.0
95,49,638,1,-1.0
95,50,319,0,-1.0
95,51,958,1,1.0
95,52,479,0,-1.0
95,53,1438,1,1.0
95,54,719,0,-1.0
95,55,2158,1,1.0
95,56,1079,0,-1.0
95,57,3238,1,1.0
95,58,1619,0,-1.0
95,59,4858,1,1.0
95,60,2429,0,-1.0
95,61,7288,3,3.0
95,62,3644,2,-1.0
95,63,1822,1,-1.0
95,64,911,0,-1.0
95,65,2734,1,1.0
95,66,1367,0,-1.0
95,67,4102,1,1.0
95,68,2051,0,-1.0
95,69,6154,1,1.0
95,70,3077,0,-1.0
95,71,9232,4,4.0
95,72,4616,3,-1.0
95,73,2308,2,-1.0
95,74,1154,1,-1.0
95,75,577,0,-1.0
95,76,1732,2,2.0
95,77,866,1,-1.0
95,78,433,0,-1.0
95,79,1300,2,2.0
95,80,650,1,-1.0
95,81,325,0,-1.0
95,82,976,4,4.0
95,83,488,3,-1.0
95,84,244,2,-1.0
95,85,122,1,-1.0
95,86,61,0,-1.0
95,87,184,3,3.0
95,88,92,2,-1.0
95,89,46,1,-1.0
95,90,23,0,-1.0
95,91,70,1,1.0
95,92,35,0,-1.0
95,93,106,1,1.0
95,94,53,0,-1.0
95,95,160,5,5.0
95,96,80,4,-1.0
95,97,40,3,-1.0
95,98,20,2,-1.0
95,99,10,1,-1.0
95,100,5,0,-1.0
95,101,16,4,4.0
95,102,8,3,-1.0
95,103,4,2,-1.0
95,104,2,1,-1.0
95,105,1,0,-1.0
96,0,96,5,
96,1,48,4,-1.0
96,2,24,3,-1.0
96,3,12,2,-1.0
96,4,6,1,-1.0
96,5,3,0,-1.0
96,6,10,1,1.0
96,7,5,0,-1.0
96,8,16,4,4.0
96,9,8,3,-1.0
96,10,4,2,-1.0
96,11,2,1,-1.0
96,12,1,0,-1.0
97,0,97,0,
97,1,292,2,2.0
97,2,146,1,-1.0
97,3,73,0,-1.0
97,4,220,2,2.0
97,5,110,1,-1.0
97,6,55,0,-1.0
97,7,166,1,1.0
97,8,83,0,-1.0
97,9,250,1,1.0
97,10,125,0,-1.0
97,11,376,3,3.0
97,12,188,2,-1.0
97,13,94,1,-1.0
97,14,47,0,-1.0
97,15,142,1,1.0
97,16,71,0,-1.0
97,17,214,1,1.0
97,18,107,0,-1.0
97,19,322,1,1.0
97,20,161,0,-1.0
97,21,484,2,2.0
97,22,242,1,-1.0
97,23,121,0,-1.0
97,24,364,2,2.0
97,25,182,1,-1.0
97,26,91,0,-1.0
97,27,274,1,1.0
97,28,137,0,-1.0
97,29,412,2,2.0
97,30,206,1,-1.0
97,31,103,0,-1.0
97,32,310,1,1.0
97,33,155,0,-1.0
97,34,466,1,1.0
97,35,233,0,-1.0
97,36,700,2,2.0
97,37,350,1,-1.0
97,38,175,0,-1.0
97,39,526,1,1.0
97,40,263,0,-1.0
97,41,790,1,1.0
97,42,395,0,-1.0
97,43,1186,1,1.0
97,44,593,0,-1.0
97,45,1780,2,2.0
97,46,890,1,-1.0
97,47,445,0,-1.0
97,48,1336,3,3.0
97,49,668,2,-1.0
97,50,334,1,-1.0
97,51,167,0,-1.0
97,52,502,1,1.0
97,53,251,0,-1.0
97,54,754,1,1.0
97,55,377,0,-1.0
97,56,1132,2,2.0
97,57,566,1,-1.0
97,58,283,0,-1.0
97,59,850,1,1.0
97,60,425,0,-1.0
97,61,1276,2,2.0
97,62,638,1,-1.0
97,63,319,0,-1.0
97,64,958,1,1.0
97,65,479,0,-1.0
97,66,1438,1,1.0
97,67,719,0,-1.0
97,68,2158,1,1.0
97,69,1079,0,-1.0
97,70,3238,1,1.0
97,71,1619,0,-1.0
97,72,4858,1,1.0
97,73,2429,0,-1.0
97,74,7288,3,3.0
97,75,3644,2,-1.0
97,76,1822,1,-1.0
97,77,911,0,-1.0
97,78,2734,1,1.0
97,79,1367,0,-1.0
97,80,4102,1,1.0
97,81,2051,0,-1.0
97,82,6154,1,1.0
97,83,3077,0,-1.0
97,84,9232,4,4.0
97,85,4616,3,-1.0
97,86,2308,2,-1.0
97,87,1154,1,-1.0
97,88,577,0,-1.0
97,89,1732,2,2.0
97,90,866,1,-1.0
97,91,433,0,-1.0
97,92,1300,2,2.0
97,93,650,1,-1.0
97,94,325,0,-1.0
97,95,976,4,4.0
97,96,488,3,-1.0
97,97,244,2,-1.0
97,98,122,1,-1.0
97,99,61,0,-1.0
97,100,184,3,3.0
97,101,92,2,-1.0
97,102,46,1,-1.0
97,103,23,0,-1.0
97,104,70,1,1.0
97,105,35,0,-1.0
97,106,106,1,1.0
97,107,53,0,-1.0
97,108,160,5,5.0
97,109,80,4,-1.0
97,110,40,3,-1.0
97,111,20,2,-1.0
97,112,10,1,-1.0
97,113,5,0,-1.0
97,114,16,4,4.0
97,115,8,3,-1.0
97,116,4,2,-1.0
97,117,2,1,-1.0
97,118,1,0,-1.0
98,0,98,1,
98,1,49,0,-1.0
98,2,148,2,2.0
98,3,74,1,-1.0
98,4,37,0,-1.0
98,5,112,4,4.0
98,6,56,3,-1.0
98,7,28,2,-1.0
98,8,14,1,-1.0
98,9,7,0,-1.0
98,10,22,1,1.0
98,11,11,0,-1.0
98,12,34,1,1.0
98,13,17,0,-1.0
98,14,52,2,2.0
98,15,26,1,-1.0
98,16,13,0,-1.0
98,17,40,3,3.0
98,18,20,2,-1.0
98,19,10,1,-1.0
98,20,5,0,-1.0
98,21,16,4,4.0
98,22,8,3,-1.0
98,23,4,2,-1.0
98,24,2,1,-1.0
98,25,1,0,-1.0
99,0,99,0,
99,1,298,1,1.0
99,2,149,0,-1.0
99,3,448,6,6.0
99,4,224,5,-1.0
99,5,112,4,-1.0
99,6,56,3,-1.0
99,7,28,2,-1.0
99,8,14,1,-1.0
99,9,7,0,-1.0
99,10,22,1,1.0
99,11,11,0,-1.0
99,12,34,1,1.0
99,13,17,0,-1.0
99,14,52,2,2.0
99,15,26,1,-1.0
99,16,13,0,-1.0
99,17,40,3,3.0
99,18,20,2,-1.0
99,19,10,1,-1.0
99,20,5,0,-1.0
99,21,16,4,4.0
99,22,8,3,-1.0
99,23,4,2,-1.0
99,24,2,1,-1.0
99,25,1,0,-1.0
100,0,100,2,
100,1,50,1,-1.0
100,2,25,0,-1.0
100,3,76,2,2.0
100,4,38,1,-1.0
100,5,19,0,-1.0
100,6,58,1,1.0
100,7,29,0,-1.0
100,8,88,3,3.0
100,9,44,2,-1.0
100,10,22,1,-1.0
100,11,11,0,-1.0
100,12,34,1,1.0
100,13,17,0,-1.0
100,14,52,2,2.0
100,15,26,1,-1.0
100,16,13,0,-1.0
100,17,40,3,3.0
100,18,20,2,-1.0
100,19,10,1,-1.0
100,20,5,0,-1.0
100,21,16,4,4.0
100,22,8,3,-1.0
100,23,4,2,-1.0
100,24,2,1,-1.0
100,25,1,0,-1.0
