n_start,val_max_H1,val_sum_H1,val_num_H1,nu2_max_H1,nu2_sum_H1,nu2_num_H1,UMAP1,UMAP2,steps_to_1,max_value,nu2_0_mean,delta_nu2_total_mean
59,0.0,0.0,0,0.0,0.0,0,-9.948809,1.5834368,32,304,0.0,0.0
60,0.0,0.0,0,0.0,0.0,0,-10.891313,2.1569963,19,160,2.0,-2.0
61,0.0,0.0,0,0.0,0.0,0,-10.840895,2.34384,19,184,0.0,0.0
62,0.0,0.0,0,0.0,0.0,0,-6.2700706,0.7317003,107,9232,1.0,-1.0
63,0.0,0.0,0,0.0,0.0,0,-7.046911,0.57959414,107,9232,0.0,0.0
64,0.0,0.0,0,0.0,0.0,0,-13.787825,4.113027,6,64,6.0,-6.0
65,0.0,0.0,0,0.0,0.0,0,-9.913869,1.228312,27,196,0.0,0.0
66,0.0,0.0,0,0.0,0.0,0,-9.975921,2.2026606,27,100,1.0,-1.0
67,0.0,0.0,0,0.0,0.0,0,-9.782419,1.6020998,27,304,0.0,0.0
68,0.2355995178222656,0.2355995178222656,0,0.0,0.0,0,-12.096254,1.9702235,14,68,2.0,-2.0
69,0.2355995178222656,0.2355995178222656,0,0.1474766731262207,0.1474766731262207,0,-12.370105,2.2253692,14,208,0.0,0.0
70,0.0,0.0,0,0.0,0.0,0,-12.18517,1.8894892,14,160,1.0,-1.0
71,0.0,0.0,0,0.0,0.0,0,-6.4269414,0.7815409,102,9232,0.0,0.0
72,0.0,0.0,0,0.0,0.0,0,-9.256524,3.4440384,22,72,3.0,-3.0
73,0.0,0.0,0,0.0,0.0,0,-5.9474883,0.48854133,115,9232,0.0,0.0
74,0.0,0.0,0,0.0,0.0,0,-8.988598,3.6578817,22,112,1.0,-1.0
75,0.0,0.0,0,0.0,0.0,0,-12.171412,1.729287,14,340,0.0,0.0
76,0.0,0.0,0,0.0,0.0,0,-9.1460085,3.5894332,22,88,2.0,-2.0
77,0.0,0.0,0,0.0,0.0,0,-8.940521,3.4016488,22,232,0.0,0.0
78,0.0,0.0,0,0.0,0.0,0,-8.156145,0.5398077,35,304,1.0,-1.0
79,0.0,0.0,0,0.0,0.0,0,-7.8292713,0.36446315,35,808,0.0,0.0
